Date,Open,High,Low,Close,Volume
2011-11-28,24.8315,25.4229,24.8315,25.3569,1100089.7767701
2011-11-29,25.1996,25.8903,24.9633,25.0274,1080352.8920345
2011-11-30,25.4044,26.603,24.726,26.4703,2226955.1646836
2011-12-01,26.4782,26.9255,26.1619,26.1812,1178602.587582
2011-12-02,26.5757,26.74,25.5608,25.7524,941223.95779781
2011-12-05,26.3182,27.1961,25.8323,27.0687,1840520.5496595
2011-12-06,26.7918,27.0687,25.9237,26.023,921361.8895691
2011-12-07,26.023,26.4053,25.1654,25.6794,1528679.3640814
2011-12-08,25.82,26.0818,24.9035,25.023,1136218.8709119
2011-12-09,24.6135,25.6873,24.5397,25.3569,2482839.3288439
2011-12-12,24.9633,25.4229,24.4097,24.4097,918542.98491073
2011-12-13,24.6328,25.0547,24.0397,24.5081,1557261.0316207
2011-12-14,24.5336,24.5336,23.5328,23.7181,1337327.2906166
2011-12-15,23.7094,24.2954,23.4678,23.4678,1693868.0874872
2011-12-16,23.705,23.9282,22.8034,22.8034,4638708.4779521
2011-12-19,22.9203,23.1838,21.806,22.2086,1969056.6843161
2011-12-20,22.0969,22.8482,21.8008,22.5793,1002595.7343083
2011-12-21,22.7226,22.893,21.7349,22.3078,1580630.5137199
2011-12-22,22.0319,22.1962,21.8333,21.9985,904688.58631929
2011-12-23,22.0627,22.3605,21.8931,22.2287,384175.62198941
2011-12-27,22.3878,22.3878,22.1171,22.2612,275289.88165507
2011-12-28,22.3878,22.3931,22.1962,22.2955,723681.22151199
2011-12-29,22.3931,22.5046,21.8008,22.2357,617451.64729499
2011-12-30,22.19,22.3272,22.0055,22.3272,622287.1442241
2012-01-02,22.321,23.3807,22.1962,23.3807,504931.03353359
2012-01-03,23.5204,23.5459,22.8737,23.1838,2293077.0857416
2012-01-04,23.1838,23.3552,22.7568,23.2225,1583634.9175544
2012-01-05,23.0468,23.2173,22.2683,22.545,1852469.8830923
2012-01-09,22.8482,22.8482,21.7876,22.1049,1559203.6518274
2012-01-10,22.2612,22.9791,22.1628,22.7884,1849555.3837664
2012-01-11,22.9203,22.9405,22.1374,22.3878,1383647.4591289
2012-01-12,22.4783,22.9203,22.3931,22.7884,2214336.6685787
2012-01-13,23.0468,23.2507,22.1303,22.3605,872640.4740527
2012-01-16,22.3272,22.893,22.2744,22.7884,997512.14645652
